date,all_per_month,hungary,poland,france,netherlands,greece,czech,slovakia,belgium,germany,yugoslavia,italy,norway,other_camps
5/15/1944,228674,215436,27,2200,453,0,7503,0,507,560,0,575,0,1413
6/15/1944,169345,164425,761,1100,496,2000,0,0,0,46,0,517,0,0
7/15/1944,72419,55741,9811,1300,0,0,0,0,563,485,0,1805,0,2714
8/15/1944,17218,131,4509,493,0,2500,0,0,0,56,0,250,0,9279
9/15/1944,75416,0,68393,0,1019,0,3999,0,0,68,0,0,0,1937
10/15/1944,18101,152,0,0,0,0,14403,0,0,31,0,102,0,3413
11/15/1944,7936,0,0,0,0,0,0,7936,0,0,0,0,0,0
12/15/1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/1945,14,0,0,0,0,0,0,0,0,14,0,0,0,0
